{'alg': 'alg1', 'primo': 1, 'num': 7, 'tempo': '0.00203 ms'}
{'alg': 'alg1', 'primo': 0, 'num': 27, 'tempo': '0.00310 ms'}
{'alg': 'alg1', 'primo': 0, 'num': 8421, 'tempo': '0.00216 ms'}
{'alg': 'alg1', 'primo': 1, 'num': 13033, 'tempo': '0.02380 ms'}
{'alg': 'alg1', 'primo': 1, 'num': 524287, 'tempo': '0.81547 ms'}
{'alg': 'alg1', 'primo': 0, 'num': 664283, 'tempo': '0.00317 ms'}
{'alg': 'alg1', 'primo': 1, 'num': 2147483647, 'tempo': '3400.51149 ms'}
{'alg': 'alg2', 'primo': 1, 'num': 7, 'tempo': '0.00437 ms'}
{'alg': 'alg2', 'primo': 0, 'num': 27, 'tempo': '0.00210 ms'}
{'alg': 'alg2', 'primo': 0, 'num': 8421, 'tempo': '0.00197 ms'}
{'alg': 'alg2', 'primo': 1, 'num': 13033, 'tempo': '0.02352 ms'}
{'alg': 'alg2', 'primo': 1, 'num': 524287, 'tempo': '0.98193 ms'}
{'alg': 'alg2', 'primo': 0, 'num': 664283, 'tempo': '0.00300 ms'}
{'alg': 'alg2', 'primo': 1, 'num': 2147483647, 'tempo': '3753.41335 ms'}
{'alg': 'alg3', 'primo': 1, 'num': 7, 'tempo': '0.00672 ms'}
{'alg': 'alg3', 'primo': 0, 'num': 27, 'tempo': '0.00190 ms'}
{'alg': 'alg3', 'primo': 0, 'num': 8421, 'tempo': '0.00214 ms'}
{'alg': 'alg3', 'primo': 1, 'num': 13033, 'tempo': '0.01145 ms'}
{'alg': 'alg3', 'primo': 1, 'num': 524287, 'tempo': '0.39834 ms'}
{'alg': 'alg3', 'primo': 0, 'num': 664283, 'tempo': '0.00237 ms'}
{'alg': 'alg3', 'primo': 1, 'num': 2147483647, 'tempo': '1709.16354 ms'}
{'alg': 'alg4', 'primo': 1, 'num': 7, 'tempo': '0.00399 ms'}
{'alg': 'alg4', 'primo': 0, 'num': 27, 'tempo': '0.00183 ms'}
{'alg': 'alg4', 'primo': 0, 'num': 8421, 'tempo': '0.00178 ms'}
{'alg': 'alg4', 'primo': 1, 'num': 13033, 'tempo': '0.01365 ms'}
{'alg': 'alg4', 'primo': 1, 'num': 524287, 'tempo': '0.39063 ms'}
{'alg': 'alg4', 'primo': 0, 'num': 664283, 'tempo': '0.00305 ms'}
{'alg': 'alg4', 'primo': 1, 'num': 2147483647, 'tempo': '1536.61684 ms'}
